MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2023 to Jul 2026


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Vietnamese Dong
,,12,1.4363,1.7009,1.3040,0.005312
,,13,1.4401,1.7079,1.2989,0.005290
,,16,1.4382,1.7046,1.2954,0.005273
,,17,1.4405,1.7096,1.2949,0.005269
,,18,1.4399,1.7037,1.2941,0.005247
,,19,1.4401,1.7111,1.2953,0.005254
,,20,1.4403,1.7149,1.2898,0.005257
,,23,1.4418,1.7193,1.2918,0.005265
,,24,1.4336,1.7227,1.2901,0.005241
,,25,1.4364,1.7218,1.2828,0.005224
,,26,1.4342,1.7171,1.2874,0.005227
,,27,1.4349,1.7206,1.2848,0.005223
,,30,1.4290,1.7141,1.2806,0.005213
,Oct,01,1.4326,1.7198,1.2864,0.005233
,,02,1.4249,1.7101,1.2870,0.005221
,,03,1.4290,1.7159,1.2951,0.005236
,,04,1.4301,1.7026,1.2969,0.005239
,,07,1.4306,1.7119,1.3039,0.005247
,,08,1.4314,1.7063,1.3033,0.005247
,,09,1.4297,1.7058,1.3037,0.005249
,,10,1.4296,1.7082,1.3064,0.005257
,,11,1.4279,1.7041,1.3053,0.005259
,,14,1.4269,1.7055,1.3060,0.005257
,,15,1.4274,1.7099,1.3100,0.005264
,,16,1.4247,1.7098,1.3081,0.005238
,,17,1.4254,1.7058,1.3134,0.005232
,,18,1.4238,1.7106,1.3137,0.005199
,,21,1.4235,1.7094,1.3100,0.005193
,,22,1.4236,1.7099,1.3158,0.005184
,,23,1.4229,1.7105,1.3172,0.005187
,,24,1.4247,1.7073,1.3209,0.005195
,,25,1.4283,1.7109,1.3199,0.005195
,,28,1.4282,1.7143,1.3246,0.005216
,,29,1.4319,1.7169,1.3250,0.005235
,,30,1.4332,1.7226,1.3253,0.005231
,Nov,01,1.4391,1.7065,1.3231,0.005220
,,04,1.4353,1.7107,1.3166,0.005207
,,05,1.4349,1.7091,1.3194,0.005205
,,06,1.4351,1.7211,1.3353,0.005256
,,07,1.4288,1.7192,1.3305,0.005238
,,08,1.4251,1.7141,1.3223,0.005225
,,11,1.4233,1.7152,1.3281,0.005256
,,12,1.4206,1.7147,1.3353,0.005269
,,13,1.4214,1.7059,1.3385,0.005281
,,14,1.4193,1.7067,1.3456,0.005300
,,15,1.4172,1.7042,1.3445,0.005297
,,18,1.4149,1.6956,1.3431,0.005290
,,19,1.4177,1.6971,1.3379,0.005264
,,20,1.4181,1.6982,1.3391,0.005270
,,21,1.4159,1.6983,1.3416,0.005278
,,22,1.4094,1.6932,1.3455,0.005294
,,25,1.4074,1.6916,1.3433,0.005285
,,26,1.4120,1.6910,1.3474,0.005303
,,27,1.4123,1.6937,1.3472,0.005302
,,28,1.4171,1.7005,1.3428,0.005299
,,29,1.4162,1.7027,1.3393,0.005284
,Dec,02,1.4155,1.7067,1.3451,0.005299
,,03,1.4128,1.7032,1.3469,0.005302
,,04,1.4136,1.7048,1.3471,0.005302
,,05,1.4129,1.7064,1.3426,0.005286
,,06,1.4162,1.7074,1.3390,0.005277
,,09,1.4153,1.7090,1.3432,0.005293
,,10,1.4140,1.7074,1.3393,0.005278
,,11,1.4120,1.7131,1.3411,0.005287
,,12,1.4117,1.7154,1.3438,0.005291
,,13,1.4094,1.7059,1.3474,0.005304
,,16,1.4182,1.7043,1.3491,0.005314
,,17,1.4197,1.7128,1.3505,0.005315
,,18,1.4183,1.7152,1.3509,0.005307
,,19,1.4130,1.7138,1.3615,0.005346
,,20,1.4096,1.6979,1.3604,0.005344
,,23,1.4139,1.7035,1.3544,0.005325
,,24,1.4121,1.7031,1.3589,0.005340
,,26,1.4120,1.7032,1.3577,0.005337
,,27,1.4160,1.7034,1.3599,0.005344
,,30,1.4143,1.7067,1.3567,0.005328
,,31,1.4160,1.7074,1.3603,0.005335

"* Yearly, monthly and weekly figures are end period values."
"* Daily figures are values as of noon."


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Vietnamese Dong
2025,Jan,02,1.4108,1.7053,1.3603,0.005344
,,03,1.4058,1.6964,1.3688,0.005376
,,06,1.4131,1.7034,1.3697,0.005395
,,07,1.4182,1.7102,1.3645,0.005375
,,08,1.4132,1.7042,1.3657,0.005380
,,09,1.4104,1.6884,1.3679,0.005389
,,10,1.4093,1.6833,1.3684,0.005393
,,13,1.4032,1.6682,1.3736,0.005410
,,14,1.4041,1.6727,1.3701,0.005398
,,15,1.4096,1.6697,1.3684,0.005390
,,16,1.4069,1.6719,1.3674,0.005386
,,17,1.4071,1.6711,1.3660,0.005390
,,20,1.4064,1.6655,1.3646,0.005396
,,21,1.4108,1.6698,1.3582,0.005378
,,22,1.4115,1.6719,1.3557,0.005377
,,23,1.4106,1.6689,1.3552,0.005410
,,24,1.4101,1.6730,1.3500,0.005383
,,27,1.4112,1.6790,1.3480,0.005375
,,28,1.4107,1.6828,1.3526,0.005393
,,31,1.4072,1.6828,1.3552,0.005404
,Feb,03,1.3990,1.6787,1.3681,0.005399
,,04,1.4020,1.6874,1.3593,0.005398
,,05,1.4037,1.6871,1.3524,0.005371
,,06,1.4032,1.6871,1.3503,0.005352
,,07,1.4026,1.6793,1.3512,0.005338
,,10,1.3974,1.6799,1.3552,0.005338
,,11,1.3970,1.6759,1.3566,0.005320
